incident,date-time,year,date-no year,location,res hall,alcohol
ALCOHOL - UNDERAGE CONSUMPTION,11/16/13 4:29,2013,11/16,HINTON JAMES RES HALL UNC,RES HALL,ALCOHOL - UNDERAGE CONSUMPTION
DRUGS - EQUIPMENT/PARAPHERNALIA,11/16/14 0:00,2014,11/16,GRANVILLE TOWERS,GRANVILLE,
SIMPLE ASSAULT,11/16/14 0:00,2014,11/16,JACKSON CIR,NA,
,11/16/14 0:00,2014,11/16,PARKING LOT,NA,
LARCENY OF BICYCLE,11/16/14 14:42,2014,11/16,KENAN MUSIC CENTER UNC,NA,
LOST / FOUND PROPERTY,11/16/14 17:52,2014,11/16,HILL HALL UNC,NA,
CALLS FOR SERVICE,11/16/14 23:31,2014,11/16,KENAN STADIUM UNC,NA,
ALCOHOL - UNDERAGE CONSUMPTION,11/16/14 3:09,2014,11/16,RIDGE RD,NA,ALCOHOL - UNDERAGE CONSUMPTION
EMS ASSIST,11/16/14 3:23,2014,11/16,GRANVILLE TOWERS,GRANVILLE,
FRAUD - ALL OTHER,11/16/15 0:00,2015,11/16,MCCOLL BUSINESS SCHOOL UNC,NA,
,11/16/15 0:00,2015,11/16,PUBLIC SAFETY BUILDING UNC,NA,
,11/16/15 0:00,2015,11/16,OLD CLINIC UNC,NA,
,11/16/15 0:00,2015,11/16,SMITH DEAN E SAC UNC,NA,
,11/16/15 0:00,2015,11/16,MANNING PARKING LOT UNC,NA,
,11/16/15 0:00,2015,11/16,WILSON LIBRARY UNC,NA,
LARCENY - FROM BUILDING,11/16/15 10:15,2015,11/16,WOOLLEN GYM UNC,NA,
EMS ASSIST,11/16/15 12:49,2015,11/16,JOINT CHILD CARE CENTER UNC,NA,
INFORMATIONAL,11/16/15 12:55,2015,11/16,CARROLL HALL UNC,NA,
B & E FORCIBLE ENTRY,11/16/15 15:46,2015,11/16,LENOIR UNC,NA,
LARCENY-ALL OTHER,11/16/15 15:59,2015,11/16,AMBULATORY CARE CENTER UNC,NA,
EMS ASSIST,11/16/15 8:13,2015,11/16,EHRINGHAUS RES HALL,RES HALL,
,11/16/16 0:00,2016,11/16,AREA 1 UNC,NA,
,11/16/16 0:00,2016,11/16,DAVIS WALTER R LIBRARY UNC,NA,
,11/16/16 0:00,2016,11/16,SMITH DEAN E SAC UNC,NA,
EMS ASSIST,11/16/16 0:37,2016,11/16,AVERY RES HALL UNC,RES HALL,
LARCENY-ALL OTHER,11/16/16 1:17,2016,11/16,HOUSE LIBRARY R B UNC,NA,
VANDALISM / PROPERTY DAMAGE,11/16/16 12:44,2016,11/16,HAMILTON HALL UNC,NA,
FOUND PROPERTY,11/16/16 12:55,2016,11/16,SOUTH RD,NA,
LOST PROPERTY,11/16/16 17:48,2016,11/16,HA I CARDINAL PARKING UNC,NA,
LOST PROPERTY,11/16/16 19:53,2016,11/16,BRINKHOUS BULLITT UNC,NA,
ASSAULT ON LAW ENFORCEMENT OFFICER,11/16/16 20:22,2016,11/16,RAMS HEAD DINING HALL UNC,NA,
SUSPICIOUS CONDITION (NON-CRIMINAL),11/16/16 8:32,2016,11/16,CARMICHAEL RES HALL UNC,RES HALL,
CLERY - REPORT STALKING,11/16/17 0:00,2017,11/16,PUBLIC SAFETY BUILDING UNC,NA,
,11/16/17 0:00,2017,11/16,MANNING DR/SKIPPER BOWLES DR,NA,
,11/16/17 0:00,2017,11/16,HA I CARDINAL PARKING UNC,NA,
,11/16/17 0:00,2017,11/16,DOGWOOD PARKING DECK UNC,NA,
,11/16/17 0:00,2017,11/16,COUNTRY CLUB RD / RALEIGH RD,NA,
LARCENY - FROM BUILDING,11/16/17 10:36,2017,11/16,HORNEY GILES F BLDG UNC,NA,
LARCENY-ALL OTHER,11/16/17 15:10,2017,11/16,WENDYS AT STUDENT UNION UNC,NA,
VOLUNTARY COMMITMENT,11/16/17 22:48,2017,11/16,EHRINGHAUS RES HALL,RES HALL,
EMS ASSIST,11/16/17 23:27,2017,11/16,MEMORIAL HALL UNC,NA,
EMS ASSIST,11/16/17 9:50,2017,11/16,OLD LYSTRA RD,NA,
MISDEMEANOR BREAKING AND ENTERING,11/17/13 0:00,2013,11/17,GRANVILLE TOWERS,GRANVILLE,
,11/17/13 0:00,2013,11/17,PORTHOLE ALLEY,NA,
,11/17/13 0:00,2013,11/17,DOGWOOD PARKING DECK UNC,NA,
,11/17/13 0:00,2013,11/17,MANNING DR / HIBBARD DR,NA,
EMS ASSIST,11/17/13 17:09,2013,11/17,HOOKER FIELDS UNC,NA,
EMS ASSIST,11/17/13 19:33,2013,11/17,MORRISON RES HALL UNC,RES HALL,
ALCOHOL - UNDERAGE CONSUMPTION,11/17/13 2:24,2013,11/17,GRANVILLE TOWERS,GRANVILLE,ALCOHOL - UNDERAGE CONSUMPTION
EMS ASSIST,11/17/13 5:21,2013,11/17,EHRINGHAUS RES HALL,RES HALL,
DRUGS - EQUIPMENT/PARAPHERNALIA,11/17/14 0:00,2014,11/17,MORRISON RES HALL UNC,RES HALL,
,11/17/14 0:00,2014,11/17,MANNING DR,NA,
,11/17/14 0:00,2014,11/17,AYCOCK FAMILY MEDICINE UNC,NA,
,11/17/14 0:00,2014,11/17,MANNING DR/S FORDHAM BLVD,NA,
,11/17/14 0:00,2014,11/17,FEDEX GLOBAL EDUCATION UNC,NA,
LARCENY OF BICYCLE,11/17/14 12:45,2014,11/17,HOUSE LIBRARY R B UNC,NA,
LARCENY - FROM BUILDING,11/17/14 15:03,2014,11/17,GREENLAW UNC,NA,
PROPERTY DAMAGE,11/17/14 7:07,2014,11/17,DOGWOOD PARKING DECK UNC,NA,
EMS ASSIST,11/17/14 9:41,2014,11/17,S COLUMBIA ST,NA,
SATURATION PATROL,11/17/15 0:00,2015,11/17,RALEIGH RD / QUAIL HILL CT,NA,
,11/17/15 0:00,2015,11/17,WILSON LIBRARY UNC,NA,
,11/17/15 0:00,2015,11/17,NEW EAST UNC,NA,
VERBAL DISTURBANCE,11/17/15 0:51,2015,11/17,CAROLINA INN UNC,NA,
EMS ASSIST,11/17/15 11:00,2015,11/17,HORTON RES HALL UNC,RES HALL,
EMS ASSIST,11/17/15 16:35,2015,11/17,ADMINISTRATIVE OFFICE BLDG UNC,NA,
INVOLUNTARY COMMITMENT,11/17/15 23:33,2015,11/17,KENAN RES HALL UNC,RES HALL,
LOST / FOUND PROPERTY,11/17/15 7:31,2015,11/17,RAM VILLAGE 5 AT 520 WILLIAMSON UNC,NA,
,11/17/16 0:00,2016,11/17,MANNING DR / HOSPITAL,NA,
FOUND PROPERTY,11/17/16 1:43,2016,11/17,DOGWOOD PARKING DECK UNC,NA,
LARCENY - FROM BUILDING,11/17/16 10:02,2016,11/17,NEW WEST UNC,NA,
B & E FORCIBLE ENTRY,11/17/16 12:55,2016,11/17,MURPHEY UNC,NA,
LARCENY OF BICYCLE,11/17/16 13:21,2016,11/17,GENOMIC SCIENCES RESEARCH UNC,NA,
PROPERTY DAMAGE,11/17/16 19:44,2016,11/17,SWAIN LOT UNC,NA,
FOUND PROPERTY,11/17/16 23:41,2016,11/17,SWAIN PARKING LOT,NA,
VANDALISM / PROPERTY DAMAGE,11/17/16 7:45,2016,11/17,KNAPP SANDERS BLDG UNC,NA,
RAPE,11/17/17 0:00,2017,11/17,WINSTON RES HALL UNC,RES HALL,
,11/17/17 0:00,2017,11/17,MEDICAL DR,NA,
,11/17/17 0:00,2017,11/17,ALLEN CENTER UNC,NA,
FOUND PROPERTY,11/17/17 1:01,2017,11/17,DOGWOOD PARKING DECK UNC,NA,
EMS ASSIST,11/17/17 11:20,2017,11/17,LENOIR UNC,NA,
LOST PROPERTY,11/17/17 12:25,2017,11/17,FETZER GYM ROBERT A UNC,NA,
FOUND PROPERTY,11/17/17 15:50,2017,11/17,CHATHAM PARK AND RIDE,NA,
EMS ASSIST,11/17/17 2:32,2017,11/17,BYNUM CIRCLE PARKING LOT UNC,NA,
ALCOHOL - UNDERAGE CONSUMPTION,11/17/17 2:36,2017,11/17,ALDERMAN RES HALL UNC,RES HALL,ALCOHOL - UNDERAGE CONSUMPTION
ASSIST OTHER AGENCY,11/17/17 22:00,2017,11/17,CHAPEL HILL / CARRBORO,NA,
LARCENY - FROM BUILDING,11/17/17 23:59,2017,11/17,CAROLINA INN UNC,NA,
LARCENY-ALL OTHER,11/18/13 0:00,2013,11/18,PUBLIC SAFETY BUILDING UNC,NA,
SUSPICIOUS CONDITION (CRIMINAL),11/18/13 0:00,2013,11/18,EHRINGHAUS RES HALL,RES HALL,
WARNING OF TRESPASS,11/18/13 0:00,2013,11/18,PUBLIC SAFETY BUILDING UNC,NA,
,11/18/13 0:00,2013,11/18,PITTSBORO ST,NA,
,11/18/13 0:00,2013,11/18,CRAIGE PARKING DECK UNC,NA,
INFORMATIONAL,11/18/13 13:21,2013,11/18,MEDICAL BIOMOLECULAR RESEARCH UNC,NA,
LARCENY - FROM MOTOR VEHICLE (B&E),11/18/13 14:05,2013,11/18,BATTLE LN,NA,
DRUGS - EQUIPMENT/PARAPHERNALIA,11/18/13 15:08,2013,11/18,EHRINGHAUS TRAIL,NA,
EMS ASSIST,11/18/13 15:19,2013,11/18,AMBULATORY CARE CENTER UNC,NA,
CLERY - ALLEGATION OF STALKING,11/18/14 0:00,2014,11/18,VAN HECKE WETTACH UNC,NA,
,11/18/14 0:00,2014,11/18,PAUL HARDIN DR,NA,
,11/18/14 0:00,2014,11/18,SOUTH RD/COUNTRY CLUB RD,NA,
,11/18/14 0:00,2014,11/18,FETZER GYM ROBERT A UNC,NA,
B & E FORCIBLE ENTRY,11/18/14 16:52,2014,11/18,MCCOLL BUSINESS SCHOOL UNC,NA,
LARCENY - FROM BUILDING,11/18/14 21:56,2014,11/18,LENOIR DINING HALL,NA,
,11/18/15 0:00,2015,11/18,SMITH DEAN E SAC UNC,NA,
,11/18/15 0:00,2015,11/18,MANNING DR/WEST DR,NA,
,11/18/15 0:00,2015,11/18,MANNING DR / RIDGE RD,NA,
,11/18/15 0:00,2015,11/18,MANNING DR / HOSPITAL,NA,
LOST / FOUND PROPERTY,11/18/15 12:37,2015,11/18,HANES ART CENTER UNC,NA,
"B&E, LARCENY FROM A VEHICLE",11/18/15 15:27,2015,11/18,GRAHAM LOT,NA,
EMS ASSIST,11/18/15 15:28,2015,11/18,GRANVILLE TOWERS,GRANVILLE,
,11/18/16 0:00,2016,11/18,SOUTH COLUMBIA / MANNNG,NA,
BEING UNDER 19 AND IN POSSESSION OF MALT BEVERAGE,11/18/16 0:43,2016,11/18,NASH PARKING LOT UNC,NA,
ALCOHOL - UNDERAGE CONSUMPTION,11/18/16 3:10,2016,11/18,EVERETT RES HALL UNC,RES HALL,ALCOHOL - UNDERAGE CONSUMPTION
EMS ASSIST,11/18/16 8:41,2016,11/18,AMBULATORY CARE CENTER UNC,NA,
ALCOHOL - UNDERAGE CONSUMPTION,11/18/17 1:20,2017,11/18,MCCORKLE PLACE UNC,NA,ALCOHOL - UNDERAGE CONSUMPTION
EMS ASSIST,11/18/17 13:57,2017,11/18,DANIELS STUDENT STORES UNC,NA,
FOUND PROPERTY,11/18/17 16:40,2017,11/18,S11 BOWLES PARKING LOT UNC,NA,
FOUND PROPERTY,11/18/17 19:02,2017,11/18,OLD WELL UNC,NA,
FOUND PROPERTY,11/18/17 19:38,2017,11/18,PUBLIC SAFETY BUILDING UNC,NA,
ACCIDENTAL SMALL FIRE,11/18/17 20:59,2017,11/18,JACKSON CIRCLE PARKING DECK UNC,NA,
FOUND PROPERTY,11/18/17 3:04,2017,11/18,MCCORKLE PLACE UNC,NA,
SEXUAL ASSAULT,11/19/13 0:00,2013,11/19,PITTSBORO ST,NA,
,11/19/13 0:00,2013,11/19,AMBULATORY CARE CENTER UNC,NA,
,11/19/13 0:00,2013,11/19,PUBLIC SAFETY BUILDING UNC,NA,
,11/19/13 0:00,2013,11/19,ROTC COLUMBIA,NA,
,11/19/13 0:00,2013,11/19,HOSPITALS UNIV OF NC UNC,NA,
,11/19/13 0:00,2013,11/19,BELL TOWER UNC,NA,
DRUGS - EQUIPMENT/PARAPHERNALIA,11/19/13 0:13,2013,11/19,EHRINGHAUS TRAIL,NA,
FIRE ALARM,11/19/13 17:39,2013,11/19,WOOLLEN GYM UNC,NA,
DRUGS - EQUIPMENT/PARAPHERNALIA,11/19/14 0:00,2014,11/19,MANNING DR,NA,
,11/19/14 0:00,2014,11/19,1 ATM DR/RALEIGH STREET,NA,
,11/19/14 0:00,2014,11/19,CRAIGE PARKING DECK UNC,NA,
FRAUD - OBTAINING MONEY/PROPERTY BY FALSE PRETENSE,11/19/14 11:54,2014,11/19,HIBBARD DR,NA,
LARCENY-ALL OTHER,11/19/14 13:03,2014,11/19,KENAN STADIUM UNC,NA,
EMS ASSIST,11/19/14 15:01,2014,11/19,AMBULATORY CARE CENTER UNC,NA,
LARCENY - FROM BUILDING,11/19/14 18:31,2014,11/19,WILSON HALL UNC,NA,
B&E NON-FORCED ENTRY,11/19/14 3:43,2014,11/19,GRANVILLE TOWERS,GRANVILLE,
,11/19/15 0:00,2015,11/19,TATE TURNER KURALT BLDG UNC,NA,
,11/19/15 0:00,2015,11/19,SMITH DEAN E SAC UNC,NA,
,11/19/15 0:00,2015,11/19,COBB PARKING DECK UNC,NA,
EMBEZZLEMENT - ALL OTHER,11/19/15 10:05,2015,11/19,DANIELS STUDENT STORES UNC,NA,
VOLUNTARY COMMITMENT,11/19/15 11:09,2015,11/19,AYCOCK FAMILY MEDICINE UNC,NA,
FORGERY - USING/UTTERING,11/19/15 13:53,2015,11/19,AYCOCK FAMILY MEDICINE UNC,NA,
WELL-BEING CHECK,11/19/15 14:26,2015,11/19,RAM VILLAGE 5 AT 520 WILLIAMSON UNC,NA,
DRUGS - EQUIPMENT/PARAPHERNALIA,11/19/15 20:22,2015,11/19,HARDIN RES HALL UNC,RES HALL,
TRESPASSING,11/19/15 23:13,2015,11/19,CHAPMAN HALL UNC,NA,
ASSAULT - ALL OTHER SIMPLE ASSAULT,11/19/16 0:00,2016,11/19,MASON FARM RD,NA,
POESSESSION OF FRADULENT IDENTIFICATION,11/19/16 0:00,2016,11/19,CHAPEL HILL,NA,
,11/19/16 0:00,2016,11/19,S COLUMBIA ST/MCCAULEY ST,NA,
,11/19/16 0:00,2016,11/19,S COLUMBIA ST/MANNING DR,NA,
EMS ASSIST,11/19/16 15:30,2016,11/19,CRAIGE RES HALL UNC,RES HALL,
ASSAULT-PHYSICAL (NON-AGGRAVATED),11/19/16 18:21,2016,11/19,HINTON JAMES RES HALL UNC,RES HALL,
WELL-BEING CHECK,11/19/16 2:03,2016,11/19,BAITY HILL UNC,NA,
EMS ASSIST,11/19/16 20:15,2016,11/19,HINTON JAMES RES HALL UNC,RES HALL,
VOLUNTARY COMMITMENT,11/19/16 20:47,2016,11/19,SOUTH RD,NA,
ALCOHOL - UNDERAGE CONSUMPTION,11/19/16 22:53,2016,11/19,STADIUM DR,NA,ALCOHOL - UNDERAGE CONSUMPTION
CONSUMING UNDERAGE,11/19/16 23:48,2016,11/19,MCCORKLE PLACE UNC,NA,
WARNING OF TRESPASS,11/19/16 9:30,2016,11/19,NORTHSIDE AREA 1 UNC,NA,
INFORMATIONAL,11/19/16 9:57,2016,11/19,BAITY HILL UNC,NA,
,11/19/17 0:00,2017,11/19,CAROLINA INN UNC,NA,
ASSAULT - ALL OTHER SIMPLE ASSAULT,11/19/17 15:26,2017,11/19,SCHL OF GOV PARKING DECK UNC,NA,
,11/2/13 0:00,2013,11/02,S COLUMBIA AND MCCAULEY ST,NA,
EMS ASSIST,11/2/13 11:11,2013,11/02,HAMILTON UNC,NA,
LARCENY - FROM BUILDING,11/2/13 14:06,2013,11/02,GARDNER UNC,NA,
EMS ASSIST,11/2/13 14:37,2013,11/02,DOGWOOD PARKING DECK UNC,NA,
CALLS FOR SERVICE,11/2/13 14:41,2013,11/02,CENTER FOR DRAMATIC ARTS UNC,NA,
ALCOHOL - UNDERAGE CONSUMPTION,11/2/13 22:03,2013,11/02,MORRISON RES HALL UNC,RES HALL,ALCOHOL - UNDERAGE CONSUMPTION
DRUGS - DRUG VIOLATION,11/2/14 0:00,2014,11/02,CRAIGE RES HALL UNC,RES HALL,
,11/2/14 0:00,2014,11/02,PHARMACY LN / MCCAULEY ST,NA,
ALCOHOL - UNDERAGE CONSUMPTION,11/2/14 1:09,2014,11/02,HINTON JAMES RES HALL UNC,RES HALL,ALCOHOL - UNDERAGE CONSUMPTION
VANDALISM / PROPERTY DAMAGE,11/2/14 13:01,2014,11/02,PHILLIPS ANNEX UNC,NA,
ASSAULT - COMMUNICATE THREATS,11/2/14 13:50,2014,11/02,SECU FAMILY HOUSE UNC,NA,
POSSESSION OF LESS THAN 1/2 OZ MARIJUANA,11/2/14 2:50,2014,11/02,CRAIGE RES HALL UNC,RES HALL,
DRUGS - EQUIPMENT/PARAPHERNALIA,11/2/15 0:00,2015,11/02,GRANVILLE TOWERS,GRANVILLE,
INFORMATIONAL,11/2/15 0:00,2015,11/02,PUBLIC SAFETY BUILDING UNC,NA,
,11/2/15 0:00,2015,11/02,DAVIS WALTER R LIBRARY UNC,NA,
,11/2/15 0:00,2015,11/02,TATE TURNER KURALT BLDG UNC,NA,
,11/2/15 0:00,2015,11/02,HOOKER FIELDS UNC,NA,
INFORMATIONAL,11/2/15 2:38,2015,11/02,HA I CARDINAL PARKING UNC,NA,
 HARASSMENT BY PHONE/TEXTS,11/2/15 22:53,2015,11/02,RAM VILLAGE 5 AT 520 WILLIAMSON UNC,NA,
EMS ASSIST,11/2/15 3:08,2015,11/02,GRANVILLE TOWERS,GRANVILLE,
VANDALISM / PROPERTY DAMAGE,11/2/15 8:36,2015,11/02,RAMS HEAD PARKING DECK UNC,NA,
EMS ASSIST,11/2/15 9:53,2015,11/02,GREENLAW UNC,NA,
,11/2/16 0:00,2016,11/02,HIGHWAY 54 PARKING LOT UNC,NA,
,11/2/16 0:00,2016,11/02,RAMS HEAD PARKING DECK UNC,NA,
,11/2/16 0:00,2016,11/02,LENOIR DR/RALEIGH ST,NA,
,11/2/16 0:00,2016,11/02,STADIUM DR/SOUTH RD,NA,
EMS ASSIST,11/2/16 0:53,2016,11/02,HINTON JAMES RES HALL UNC,RES HALL,
INFORMATIONAL,11/2/16 10:44,2016,11/02,MCLEAN HALL UNC,NA,
FOUND PROPERTY,11/2/16 11:59,2016,11/02,GRAHAM STUDENT UNION UNC,NA,
FOUND PROPERTY,11/2/16 13:49,2016,11/02,FETZER GYM ROBERT A UNC,NA,
HARASSMENT,11/2/16 13:56,2016,11/02,SASB SOUTH UNC,NA,
INFORMATIONAL,11/2/16 14:20,2016,11/02,JACKSON HALL UNC,NA,
FOUND PROPERTY,11/2/16 15:44,2016,11/02,VAN HECKE WETTACH UNC,NA,
LARCENY - FROM MOTOR VEHICLE (B&E),11/2/16 16:53,2016,11/02,BIOINFORMATICS BLDG UNC,NA,
LARCENY - FROM BUILDING,11/2/16 16:54,2016,11/02,FETZER GYM ROBERT A UNC,NA,
CALLS FOR SERVICE,11/2/16 17:13,2016,11/02,RAM VILLAGE 5 AT 520 WILLIAMSON UNC,NA,
VANDALISM / PROPERTY DAMAGE,11/2/16 17:19,2016,11/02,HA I CARDINAL PARKING UNC,NA,
EMS ASSIST,11/2/16 21:11,2016,11/02,PEABODY UNC,NA,
INFORMATIONAL,11/2/16 21:57,2016,11/02,CRAIGE PARKING DECK UNC,NA,
FOUND PROPERTY,11/2/16 22:55,2016,11/02,PUBLIC SAFETY BUILDING UNC,NA,
LARCENY - FROM BUILDING,11/2/16 7:51,2016,11/02,DEY UNC,NA,
,11/2/17 0:00,2017,11/02,NEW EAST UNC,NA,
SUSPICIOUS CONDITION (NON-CRIMINAL),11/2/17 14:38,2017,11/02,FRIDAY CENTER PARK AND RIDE,NA,
EMS ASSIST,11/2/17 16:03,2017,11/02,RALEIGH RD LOT,NA,
ASSAULT-AGGRAVATED,11/2/17 21:21,2017,11/02,MCCORKLE PLACE UNC,NA,
VOLUNTARY COMMITMENT,11/2/17 22:09,2017,11/02,VENABLE UNC,NA,
DISORDERLY CONDUCT,11/2/17 8:18,2017,11/02,ROSENAU UNC,NA,
,11/20/13 0:00,2013,11/20,COLUMBIA @MANNING DR,NA,
,11/20/13 0:00,2013,11/20,HOUSE LIBRARY R B UNC,NA,
INFORMATIONAL,11/20/13 13:10,2013,11/20,DAVIE UNC,NA,
INFORMATIONAL,11/20/13 15:06,2013,11/20,HOUSE LIBRARY R B UNC,NA,
EMS ASSIST,11/20/13 15:57,2013,11/20,TARRSON HALL UNC,NA,
EMS ASSIST,11/20/13 17:13,2013,11/20,LINEBERGER CANCER RES UNC,NA,
CLERY - ALLEGATION OF RAPE,11/20/14 0:00,2014,11/20,FRATERNITY COURT,NA,
,11/20/14 0:00,2014,11/20,BOSHAMER STADIUM UNC,NA,
,11/20/14 0:00,2014,11/20,PITTSBORO ST/VANCE ST,NA,
,11/20/14 0:00,2014,11/20,MASON FARM / S COLUMBIA,NA,
,11/20/14 0:00,2014,11/20,EHRINGHAUS RES HALL,RES HALL,
EMS ASSIST,11/20/14 11:42,2014,11/20,GRAHAM STUDENT UNION UNC,NA,
LARCENY - FROM BUILDING,11/20/14 16:08,2014,11/20,AMBULATORY CARE CENTER UNC,NA,
CALLS FOR SERVICE,11/20/14 17:09,2014,11/20,E CAMERON AVE,NA,
BOMB THREAT,11/20/14 23:31,2014,11/20,THE PIT UNC,NA,
FRAUD - IMPERSONATING,11/20/14 9:49,2014,11/20,PUBLIC SAFETY BUILDING UNC,NA,
LARCENY OF BICYCLE,11/20/15 0:00,2015,11/20,SITTERSON COMP SCI CTR UNC,NA,
,11/20/15 0:00,2015,11/20,MOREHEAD PLANETARIUM UNC,NA,
,11/20/15 0:00,2015,11/20,INFIRMARY (HOSPITAL PR UNC,NA,
,11/20/15 0:00,2015,11/20,DOGWOOD PARKING DECK UNC,NA,
,11/20/15 0:00,2015,11/20,W CAMERON AVE/GRAHAM ST,NA,
ALCOHOL - UNDERAGE CONSUMPTION,11/20/15 0:19,2015,11/20,EHRINGHAUS RES HALL,RES HALL,ALCOHOL - UNDERAGE CONSUMPTION
EMS ASSIST,11/20/15 0:33,2015,11/20,HINTON JAMES RES HALL UNC,RES HALL,
ALCOHOL - UNDERAGE CONSUMPTION,11/20/15 1:12,2015,11/20,HINTON JAMES RES HALL UNC,RES HALL,ALCOHOL - UNDERAGE CONSUMPTION
INFORMATIONAL,11/20/15 16:42,2015,11/20,PUBLIC SAFETY BUILDING UNC,NA,
EMS ASSIST,11/20/15 17:00,2015,11/20,MOREHEAD PLANETARIUM UNC,NA,
EMS ASSIST,11/20/15 20:06,2015,11/20,WOOLLEN GYM UNC,NA,
SEAT BELT COMPLIANCE CHECK (HOST),11/20/15 21:00,2015,11/20,COUNTRY CLUB RD / COBB RES HALL,RES HALL,
DOMESTIC DISTURBANCE,11/20/15 23:10,2015,11/20,SITTERSON COMP SCI CTR UNC,NA,
CHECK POINT (PART),11/20/15 7:00,2015,11/20,W CAMERON AVE/GRAHAM ST,NA,
EMS ASSIST,11/20/15 7:25,2015,11/20,AMBULATORY CARE CENTER UNC,NA,
EMS ASSIST,11/20/16 12:55,2016,11/20,CRAIGE RES HALL UNC,RES HALL,
LOST PROPERTY,11/20/16 16:46,2016,11/20,PUBLIC SAFETY BUILDING UNC,NA,
EMS ASSIST,11/20/16 17:17,2016,11/20,MANNING DR,NA,
ALCOHOL - UNDERAGE CONSUMPTION,11/20/16 2:18,2016,11/20,HINTON JAMES RES HALL UNC,RES HALL,ALCOHOL - UNDERAGE CONSUMPTION
ALCOHOL - ALL OTHER LIQUOR LAW VIOLATION,11/20/16 2:30,2016,11/20,GRAHAM STUDENT UNION UNC,NA,ALCOHOL - ALL OTHER LIQUOR LAW VIOLATION
EMS ASSIST,11/20/16 20:28,2016,11/20,OLD WEST RES HALL UNC,RES HALL,
FOUND PROPERTY,11/20/16 7:47,2016,11/20,CAMERON AVE,NA,
LARCENY - AUTO PART & ACCESSORIES,11/20/17 0:00,2017,11/20,PUBLIC SAFETY BUILDING UNC,NA,
,11/20/17 0:00,2017,11/20,MANNING DR,NA,
,11/20/17 0:00,2017,11/20,MANNING DR/SKIPPER BOWLES DR,NA,
,11/20/17 0:00,2017,11/20,VENABLE UNC,NA,
LARCENY OF BICYCLE,11/20/17 10:20,2017,11/20,CARMICHAEL RES HALL UNC,RES HALL,
LARCENY - FROM BUILDING,11/20/17 11:09,2017,11/20,CRAIGE NORTH RES HALL UNC,RES HALL,
LARCENY - FROM MOTOR VEHICLE (B&E),11/20/17 12:22,2017,11/20,MORRISON RES HALL UNC,RES HALL,
LARCENY - FROM BUILDING,11/20/17 13:50,2017,11/20,NEW WEST UNC,NA,
FOUND PROPERTY,11/20/17 15:27,2017,11/20,AYCOCK RES HALL UNC,RES HALL,
,11/21/13 0:00,2013,11/21,RALEIGH ST/E FRANKLIN ST,NA,
LARCENY G.S. 14-72(A),11/21/13 23:07,2013,11/21,RALEIGH RD NEAR GLEN LENNOX,NA,
EMS ASSIST,11/21/13 7:28,2013,11/21,JACKSON CIR,NA,
CLERY - ALLEGATION OF RAPE,11/21/14 0:00,2014,11/21,W. CAMERON AVENUE,NA,
,11/21/14 0:00,2014,11/21,AMBULATORY CARE CENTER UNC,NA,
VERBAL DISAGREEMENT,11/21/14 13:09,2014,11/21,TAYLOR RESIDENCE HALL,NA,
LOST / FOUND PROPERTY,11/21/14 13:16,2014,11/21,DOGWOOD PARKING DECK UNC,NA,
DRUGS - PARAPHERNALIA - POSSESSING,11/21/14 15:09,2014,11/21,GRANVILLE TOWERS,GRANVILLE,
LARCENY - FROM BUILDING,11/21/14 15:13,2014,11/21,ODUM VILLAGE UNC,NA,
CHEMICAL EXPOSURE,11/21/14 15:55,2014,11/21,VENABLE UNC,NA,
SECOND DEGREE TRESPASSING,11/21/14 16:25,2014,11/21,HANES ART CENTER UNC,NA,
DAMAGE TO LIGHTPOLE DUE TO FIRE,11/21/14 17:18,2014,11/21,CARMICHAEL ARENA UNC,NA,
ALCOHOL - UNDERAGE CONSUMPTION,11/21/14 2:29,2014,11/21,EHRINGHAUS RES HALL,RES HALL,ALCOHOL - UNDERAGE CONSUMPTION
LARCENY - FROM BUILDING,11/21/14 20:33,2014,11/21,HANES UNC,NA,
EMS ASSIST,11/21/14 3:25,2014,11/21,HINTON JAMES RES HALL UNC,RES HALL,
EMS ASSIST,11/21/14 8:16,2014,11/21,SECU FAMILY HOUSE UNC,NA,
WELL-BEING CHECK,11/21/15 0:13,2015,11/21,GRIMES RES HALL UNC,RES HALL,
ALCOHOL - UNDERAGE CONSUMPTION,11/21/15 1:10,2015,11/21,HINTON JAMES PARKING LOT UNC,NA,ALCOHOL - UNDERAGE CONSUMPTION
LOST CELL PHONE,11/21/15 11:51,2015,11/21,POLK PLACE UNC,NA,
VOLUNTARY COMMITMENT,11/21/15 13:20,2015,11/21,EHRINGHAUS RES HALL,RES HALL,
VANDALISM / PROPERTY DAMAGE,11/21/15 15:00,2015,11/21,BRANSON ST,NA,
ALCOHOL - UNDERAGE CONSUMPTION,11/21/15 22:53,2015,11/21,HINTON JAMES RES HALL UNC,RES HALL,ALCOHOL - UNDERAGE CONSUMPTION
HARASSMENT,11/21/15 23:39,2015,11/21,RAMS VILLAGE,NA,
EMS ASSIST/DEATH INVESTIGATION,11/21/15 8:36,2015,11/21,CAROLINA INN UNC,NA,
EMS ASSIST,11/21/15 9:40,2015,11/21,KOURY NATATORIUM UNC,NA,
CLERY - ALLEGATION SEXUAL ASSAULT,11/21/16 0:00,2016,11/21,COBB RES HALL UNC,RES HALL,
